"id";"objectid";"point_lat";"point_lng";"obj_type";"type";"o_id";"naam";"aantal_loc";"ligging";"orientatie";"status";"shape"
"322";"108";"51.21231285795800";"4.39405507402880";"VELO";"ENKELZIJDIG";"074";"Vismijn";"18";" ";" ";"VEILIG";""
"325";"109";"51.21303454307900";"4.42176292641520";"VELO";"DUBBELZIJDIG";"005";"Centraal Station - Kievit 1";"36";" ";" ";"VEILIG";""
"328";"110";"51.21346174189900";"4.40496447740210";"VELO";"<Null>";"084";"Elzenveld";"24";" ";" ";"VEILIG";""
"331";"111";"51.21373300461300";"4.43329880983210";"VELO";"ENKELZIJDIG";"107";"Moorkensplein";"18";" ";" ";"VEILIG";""
"334";"112";"51.21408977386900";"4.41039064623180";"VELO";"<Null>";"037";"Theater";"30";" ";" ";"VEILIG";""
"337";"113";"51.21416319808700";"4.41619619164530";"VELO";"ENKELZIJDIG";"095";"Quinten Matsijslei";"30";" ";" ";"VEILIG";""
"340";"114";"51.21486075296500";"4.39627370079490";"VELO";"<Null>";"070";"Sint-Andries";"30";" ";" ";"VEILIG";""
"343";"115";"51.21483362857100";"4.39250897982580";"VELO";"<Null>";"071";"Sint-Michielskaai";"30";" ";" ";"VEILIG";""
"346";"116";"51.21577799313100";"4.40314241625040";"VELO";"ENKELZIJDIG";"067";"Oudaan";"24";" ";" ";"VEILIG";""
"349";"117";"51.21642827210700";"4.40597990509630";"VELO";"ENKELZIJDIG";"036";"Bourla";"20";" ";" ";"VEILIG";""
"352";"118";"51.21708373345300";"4.40888111503170";"VELO";"ENKELZIJDIG";"023";"Rubenshuis";"20";" ";" ";"VEILIG";""
"355";"119";"51.21711422976000";"4.39924241735810";"VELO";"<Null>";"066";"Modemuseum";"24";" ";" ";"VEILIG";""
"358";"120";"51.21770181613600";"4.42062094306980";"VELO";"ENKELZIJDIG";"001";"Centraal Station - Astrid 1";"33";" ";" ";"VEILIG";""
"361";"121";"51.21818658068800";"4.40616853610180";"VELO";"<Null>";"018";"Meirbrug";"36";" ";" ";"VEILIG";""
"364";"122";"51.21842153676200";"4.41544771317310";"VELO";"ENKELZIJDIG";"025";"Teniersplaats";"30";" ";" ";"VEILIG";""
"367";"123";"51.21862476763400";"4.43059577168810";"VELO";"ENKELZIJDIG";"109";"Kerkstraat";"21";" ";" ";"VEILIG";""
"370";"124";"51.21863643919900";"4.43863505069880";"VELO";"ENKELZIJDIG";"113";"Helmstraat";"17";" ";" ";"VEILIG";""
"373";"125";"51.21909171978600";"4.39489977888030";"VELO";"<Null>";"064";"Zuiderterras";"36";" ";" ";"VEILIG";""
"376";"126";"51.21997249866200";"4.41635591335600";"VELO";"<Null>";"011";"Roosevelt";"24";" ";" ";"VEILIG";""
"379";"127";"51.22105518472900";"4.39677919856300";"VELO";"ENKELZIJDIG";"059";"Het Steen";"36";" ";" ";"VEILIG";""
"382";"128";"51.22159038025700";"4.40267835770500";"VELO";"ENKELZIJDIG";"057";"Wolstraat";"18";" ";" ";"VEILIG";""
"385";"129";"51.22173442296300";"4.42070883243310";"VELO";"<Null>";"032";"Permeke";"27";" ";" ";"VEILIG";""
"388";"130";"51.22210460416900";"4.43375240305970";"VELO";"ENKELZIJDIG";"114";"ZNA Stuivenberg";"21";" ";" ";"VEILIG";""
"391";"131";"51.22210579324500";"4.40467399900230";"VELO";"<Null>";"056";"Minderbroedersrui";"30";" ";" ";"VEILIG";""
"394";"132";"51.22276821963800";"4.42426381702690";"VELO";"ENKELZIJDIG";"115";"Metro Elisabeth";"21";" ";" ";"VEILIG";""
"397";"133";"51.22434629738200";"4.39907080295900";"VELO";"<Null>";"058";"Noorderterras";"29";" ";" ";"VEILIG";""
"400";"134";"51.22480801305900";"4.41260815759240";"VELO";"ENKELZIJDIG";"053";"Paardenmarkt";"21";" ";" ";"VEILIG";""
"403";"135";"51.22470242621400";"4.43658847850890";"VELO";"ENKELZIJDIG";"122";"Schijnpoort";"20";" ";" ";"VEILIG";""
"406";"136";"51.22541893595600";"4.41840487286780";"VELO";"<Null>";"117";"Sint-Jansplein";"30";" ";" ";"VEILIG";""
"409";"137";"51.22587750107800";"4.41457529154300";"VELO";"<Null>";"052";"Waaslandtunnel";"40";" ";" ";"VEILIG";""
"412";"138";"51.22585314039600";"4.40085662913700";"VELO";"<Null>";"049";"Tolhuis";"26";" ";" ";"VEILIG";""
"415";"139";"51.22621557674500";"4.40960835365440";"VELO";"ENKELZIJDIG";"033";"Hessenhuis";"21";" ";" ";"VEILIG";""
"418";"140";"51.22678698115300";"4.40065956178990";"VELO";"<Null>";"135";"Loodswezen";"27";" ";" ";"VEILIG";""
"421";"141";"51.22686804474400";"4.40543441600480";"VELO";"ENKELZIJDIG";"045";"Falconplein";"18";" ";" ";"VEILIG";""
"424";"142";"51.22811160465900";"4.40572910109030";"VELO";"<Null>";"134";"MAS";"24";" ";" ";"VEILIG";""
"427";"143";"51.22910121501700";"4.42473001449580";"VELO";"ENKELZIJDIG";"123";"Park Spoor Noord 2";"17";" ";" ";"VEILIG";""
"430";"144";"51.22943105081100";"4.41126519281130";"VELO";"<Null>";"133";"Willemdok";"24";" ";" ";"VEILIG";""
"433";"145";"51.22991615351900";"4.41941860327770";"VELO";"<Null>";"124";"Park Spoor Noord 1";"30";" ";" ";"VEILIG";""
"436";"146";"51.21453720999100";"4.44373062416890";"VELO";"<Null>";"068";"Turnhoutsepoort";"30";" ";" ";"VEILIG";""
